"","datacollection","condition","new_whomoreimm","new_whoblamew","bigot_personjudge","new_acttellmor","new_behtellmor","bigot_infovalue","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"1",1,1,1,5,3,4,4,4,4,2,1994,187,21,1,5,"1",2,"Bloomington","55438",1,"?",""
"2",1,1,2,2,2,1,3,2,4,2,1994,187,20,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,1,1,1,1,1,1,1,5,1,1994,187,20,1,5,"2",2,"St. Paul","55104",1,"150000",""
"4",1,1,4,3,3.5,4,4,4,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"5",1,0,6,5,5.5,4,4,4,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"6",1,0,1,1,1,1,1,1,4,1,1992,187,22,1,4,"0",2,"Lakeland","55043",1,"$150,000",""
"7",1,1,2,2,2,2,2,2,6,1,1993,111,17,3,4,"0",2,"Lake Elmo","55042",1,"200000",""
"8",1,0,1,1,1,1,1,1,4,2,1994,187,15,3,3,"0",1,"Marshfield","5449",1,"350,000",""
"9",1,0,1,2,1.5,1,7,4,6,2,1992,187,22,1,4,"0",2,"St. Paul","55105",1,"700,000",""
"10",1,0,2,1,1.5,1,5,3,6,2,1995,187,19,1,5,"0",2,"St. Paul","55104",1,"$1,000,000",""
"11",1,1,1,1,1,1,2,1.5,2,2,1993,187,21,1,4,"2",2,"St. Paul","55104",1,"200000",""
"12",1,0,1,2,1.5,2,6,4,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200,000",""
"13",1,1,3,2,2.5,3,2,2.5,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
"14",1,1,2,2,2,2,4,3,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"15",1,1,1,1,1,1,1,1,5,2,1994,187,20,1,4,"0",2,"Andover","55304",1,"$250000",""
"16",1,0,1,1,1,1,1,1,3,2,1993,187,21,3,4,"0",2,"Inver Grove Heights","55077",1,"35000",""
"17",1,1,1,1,1,1,1,1,4,2,1993,187,21,2,1,"0",2,"North Minneapolis","55411",1,"$24000",""
"18",1,0,1,1,1,1,1,1,4,1,1986,187,28,4,3,"2",2,"Minneapolis","55411",1,"30000",""
"19",1,0,2,3,2.5,2,2,2,4,2,1994,187,20,2,4,"5",2,"Crystal","55422",1,"70000",""
"20",1,0,1,2,1.5,1,7,4,4,2,1995,187,19,1,5,"0",2,"Saint Paul","55105",1,"?",""
"21",1,1,3,3,3,3,5,4,4,1,1993,187,21,1,5,"0",2,"Glenview, IL","60026",1,"",""
"22",1,1,2,2,2,2,5,3.5,3,2,1986,187,28,1,4,"1",2,"Maple Grove","55311",1,"175,000",""
