"","datacollection","companyevaluation","pg_condition","pg_good","pg_ethical","pg_responsibl","pg_honest","pg_innocent","pltclideo","gender","yearbirth","countrybir","engexp","ethnicity","parented","beforeres","beforethes","citytown","postalcode","honest_A","faminc","mturkhowm"
"1",1,3.33333333333333,1,4,4,4,4,4,6,2,1992,187,22,1,5,"5",2,"shorewood","55331",1,"$300,000",""
"2",1,3.33333333333333,1,4,4,4,4,4,4,2,1994,187,0,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,5.5,2,6,7,7,9,4,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"4",1,6.33333333333333,3,7,7,7,9,8,4,2,1994,187,20,1,6,"0",2,"Eden Prairie","55346",1,"175,000",""
"5",1,7.5,3,9,9,9,9,9,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"6",1,7.5,3,9,9,9,9,9,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"7",1,4.16666666666667,2,5,5,5,5,5,5,1,1964,187,50,1,5,"0",2,"roseville","55113",1,"200000",""
"8",1,6.66666666666667,4,8,8,8,8,8,6,2,1993,117,17,0,4,"0",2,"Lake Elmo","55042",1,"200000",""
"9",1,5.5,2,6,4,9,8,6,4,1,1993,187,21,1,6,"0",2,"Brewster, MA","2631",1,"$500,000",""
"10",1,5,4,5,6,7,7,5,3,2,1992,187,22,1,5,"0",2,"St. Paul","55104",1,"Not sure",""
"11",1,6,2,6,6,8,9,7,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"12",1,3.33333333333333,1,4,4,4,4,4,2,2,1993,187,21,1,4,"1",2,"St. Paul","55104",1,"200000",""
"13",1,4.83333333333333,1,7,6,6,4,6,2,2,1993,187,21,1,6,"0",2,"Saint Paul","55104",1,"400,000",""
"14",1,5,3,6,6,6,6,6,2,1,1993,187,21,1,5,"0",2,"St. Paul","55105",1,"75000",""
"15",1,1.83333333333333,4,2,2,2,3,2,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"16",1,2.66666666666667,4,5,5,1,2,3,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200000",""
"17",1,3.16666666666667,1,4,3,3,4,5,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
