"","datacollection","condition","cold_moral","new_benefitsoc","new_mrlcontr","new_mrlpraisew","new_actmrlcont","cold_traits","new_traits_1","new_traits_2","new_traits_3","new_traits_4","pltclideo","gender","yearbirth","countrybir","expeng","ethnicity","parented","bfrres","bfrthese","citytown","postalcode","honest","faminc","mturkhowm"
"1",1,1,4.25,3,6,6,2,4.5,4,5,5,4,4,2,1994,187,21,1,5,"1",2,"Bloomington","55438",1,"?",""
"2",1,0,3.5,1,3,5,5,3.5,3,4,4,3,4,2,1994,187,20,1,5,"1",2,"St. Paul","55104",1,"150000",""
"3",1,1,3.25,2,3,6,2,5.5,6,6,4,6,5,1,1994,187,20,1,5,"2",2,"St. Paul","55104",1,"150000",""
"4",1,0,1,1,1,1,1,4,4,4,4,4,4,2,1994,187,20,1,6,"0",2,"Eagan","55123",1,"90,000",""
"5",1,0,3,1,4,3,4,4,1,4,4,7,4,1,1992,151,5,6,5,"0",2,"saint paul","55104",1,"800,000",""
"6",1,1,1,1,1,1,1,1,1,1,1,1,4,1,1992,187,22,1,4,"0",2,"Lakeland","55043",1,"$150,000",""
"7",1,0,2.75,2,2,5,2,6.5,7,6,6,7,6,1,1993,111,17,3,4,"0",2,"Lake Elmo","55042",1,"200000",""
"8",1,1,5.25,7,4,3,7,1,1,1,1,1,4,2,1994,187,15,3,3,"0",1,"Marshfield","5449",1,"350,000",""
"9",1,0,2.25,1,3,2,3,3,2,4,4,2,6,2,1992,187,22,1,4,"0",2,"St. Paul","55105",1,"700,000",""
"10",1,0,2.5,2,3,3,2,4.5,5,4,5,4,6,2,1995,187,19,1,5,"0",2,"St. Paul","55104",1,"$1,000,000",""
"11",1,0,2.25,3,2,2,2,4,4,4,4,4,2,2,1993,187,21,1,4,"2",2,"St. Paul","55104",1,"200000",""
"12",1,1,2.25,1,4,2,2,5.25,4,6,6,5,4,1,1992,187,22,1,6,"0",2,"Long Lake","55356",1,"200,000",""
"13",1,1,1.5,2,1,2,1,4,3,4,5,4,5,1,1994,187,20,1,6,"0",2,"Maplewood","55117",2,"10000",""
"14",1,0,2.25,3,2,2,2,4,4,4,4,4,5,1,1992,187,22,1,6,"6",2,"St. Paul","55104",1,"400,000",""
"15",1,0,1,1,1,1,1,4.25,3,4,5,5,5,2,1994,187,20,1,4,"0",2,"Andover","55304",1,"$250000",""
"16",1,1,1,1,1,1,1,5.5,5,6,6,5,3,2,1993,187,21,3,4,"0",2,"Inver Grove Heights","55077",1,"35000",""
"17",1,0,3.25,1,4,7,1,4,4,4,4,4,4,2,1993,187,21,2,1,"0",2,"North Minneapolis","55411",1,"$24000",""
"18",1,0,3,1,5,5,1,5,5,5,5,5,2,1,1995,187,19,1,4,"0",2,"Eden Prairie","55347",1,"250000",""
"19",1,1,2,2,2,2,2,2.5,2,2,4,2,4,1,1986,187,28,4,3,"2",2,"Minneapolis","55411",1,"30000",""
"20",1,1,3,3,3,4,2,3.75,3,3,5,4,4,2,1994,187,20,2,4,"5",2,"Crystal","55422",1,"70000",""
"21",1,1,4.5,1,7,7,3,5,6,4,4,6,4,2,1995,187,19,1,5,"0",2,"Saint Paul","55105",1,"?",""
"22",1,1,2.5,1,3,4,2,4.5,5,4,4,5,4,1,1993,187,21,1,5,"0",2,"Glenview, IL","60026",1,"",""
"23",1,0,1,1,1,1,1,4.75,5,5,4,5,3,2,1986,187,28,1,4,"1",2,"Maple Grove","55311",1,"175,000",""
"24",1,1,2.75,3,2,3,3,4.5,5,4,4,5,2,2,1994,187,20,2,6,"0",NA,"St. Paul","55105",1,"70000",""
"25",1,0,3.75,3,3,7,2,3.5,3,4,4,3,5,2,1994,187,20,6,6,"2",2,"Prior Lake","55372",1,"500,000",""
"26",1,1,6.75,7,6,7,7,6.75,6,7,7,7,6,2,1993,187,21,1,5,"0",2,"White Bear Lake","55110",1,"180,000",""
"27",1,0,3,3,3,3,3,6,7,5,5,7,5,1,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"60000",""
"28",1,1,1.75,1,2,2,2,5,6,5,4,5,5,1,1994,187,21,1,4,"1",2,"Stillwater","55082",1,"$120,000",""
"29",1,1,3,2,5,4,1,4.5,5,4,5,4,6,2,1995,187,20,1,5,"0",2,"St. Paul","55105",1,"100,000",""
"30",1,0,1,1,1,1,1,4.75,6,4,4,5,NA,1,1990,187,24,1,4,"0",2,"St. Paul","55104",1,"110000",""
"31",1,0,2.5,1,1,4,4,5.5,7,6,4,5,4,2,1993,128,10,1,6,"0",2,"St. Paul","55117",1,"150000",""
"32",1,1,1,1,1,1,1,4,4,4,4,4,4,1,1992,126,22,4,4,"0",2,"Woodbury","55125",1,"150000",""
"33",1,1,2.75,2,2,5,2,5,6,4,4,6,5,2,1994,187,20,1,6,"0",2,"St. Paul","55104",1,"$185,000",""
"34",1,0,1.25,1,1,2,1,4.5,4,5,5,4,7,1,1994,187,21,1,4,"0",2,"Coon Rapids","55448",1,"40000",""
"35",1,1,3.75,3,3,6,3,5.5,6,5,5,6,5,1,1995,187,19,1,6,"0",2,"Waconia","55387",2,"$300,000",""
"36",1,0,4,2,5,4,5,5.75,6,6,5,6,4,2,1995,187,19,1,4,"0",2,"Hutchinson","55350",1,"US $175,000",""
"37",1,0,2.25,2,2,3,2,6,6,6,7,5,4,2,1993,187,21,2,4,"0",2,"Lakeville","55044",1,"$70,000",""
"38",1,1,5,2,6,5,7,5.75,7,5,5,6,4,2,1995,187,19,1,6,"0",2,"St. Paul","55106",1,"600,000",""
"39",1,0,1,1,1,1,1,3.25,1,4,6,2,4,2,1993,187,21,1,4,"1",2,"Elmhurst","60126",1,"",""
"40",1,1,2.5,2,2,4,2,4,4,4,4,4,4,2,1994,187,20,1,5,"0",2,"St. Paul","55104",1,"100000",""
"41",1,1,1,1,1,1,1,6,7,5,5,7,5,1,1994,187,20,1,5,"1",1,"Woodbury","55129",1,"100,000",""
"42",1,1,1,1,1,1,1,2.5,1,4,4,1,6,2,1995,187,20,1,5,"1",2,"St. Paul","55116",1,"250000",""
"43",1,1,4,3,4,5,4,4.5,5,5,4,4,6,1,1993,187,22,1,4,"0",2,"st paul","55104",1,"x",""
"44",1,0,3.25,3,3,4,3,3.75,3,4,4,4,4,1,1994,187,20,1,0,"",2,"Mahtomedi","55115",1,"200000",""
"45",1,1,3.75,4,3,4,4,4,4,4,4,4,4,1,1993,185,21,2,3,"2",2,"eden prairie","555347",2,"3,100,000.00",""
"46",1,1,1.5,1,1,3,1,7,7,7,7,7,6,1,1993,187,21,1,6,"5",2,"St. Paul","55104",1,"250000",""
"47",1,1,1,1,1,1,1,4,4,4,4,4,6,1,1993,187,21,1,5,"2",2,"St. Paul","55116",1,"200,000",""
"48",1,0,1,1,1,1,1,5,5,5,5,5,2,2,1993,187,21,1,5,"0",2,"St. Paul","55105",2,"130,000",""
"49",1,0,1.25,1,2,1,1,6.5,7,7,6,6,4,1,1994,187,20,1,6,"0",2,"Apple Valley","55124",1,"90000",""
"50",1,0,4.25,1,6,5,5,5,5,5,4,6,4,1,1994,187,21,1,4,"0",2,"Maplewood","55119",1,"$100,000",""
"51",1,1,4.5,3,6,6,3,6,6,6,6,6,5,2,1993,187,21,1,5,"0",2,"Dubuque","52003",1,"$500,000",""
"52",1,1,1,1,1,1,1,7,7,7,7,7,6,1,1990,187,24,1,5,"1",2,"Hanover","55341",1,">100000",""
"53",1,0,1.25,1,1,2,1,5.5,6,5,5,6,2,2,1993,187,21,1,5,"1",2,"Lakeville","55044",1,"325,000",""
"54",1,0,2.75,3,4,1,3,4,4,3,5,4,4,1,1994,187,21,1,4,"0",2,"Richfield","55423",1,"90k",""
"55",1,0,1,1,1,1,1,6,6,6,6,6,6,1,1992,187,22,1,4,"0",2,"Blaine","55449",2,"125000",""
"56",1,1,4,3,3,6,4,6,6,6,6,6,6,2,1994,187,20,1,5,"0",2,"St. Paul","55104",2,"",""
"57",1,1,1.25,1,1,2,1,5,6,6,4,4,4,1,1993,187,21,1,4,"0",2,"st paul","55102",1,"",""
"58",1,1,1,1,1,1,1,2.5,3,2,2,3,3,2,1994,187,20,1,6,"1",2,"Apple Valley","55124",1,"$180,000",""
"59",1,0,3,1,4,6,1,4.75,4,5,5,5,3,2,1994,187,20,1,4,"0",2,"St. Paul","55105",1,"$1000000",""
"60",1,0,1.75,1,2,2,2,4,4,4,4,4,6,2,1994,187,20,1,5,"0",2,"St. Paul","55105",2,"280000",""
"61",1,0,3,3,3,3,3,4,4,4,4,4,6,2,1994,187,21,4,6,"2",2,"Saint Paul","55105",1,"70,000",""
"62",1,0,2,1,1,4,2,4.75,6,5,4,4,4,1,1994,187,21,1,4,"0",2,"Minneapolis","55417",1,"120,000",""
"63",1,0,2,2,2,2,2,4,4,5,4,3,5,1,1992,187,22,1,5,"0",2,"St. Paul","55105",1,"30000",""
"64",1,1,3.25,1,4,5,3,7,7,7,7,7,4,2,1993,187,21,1,4,"0",2,"St. Paul","55104",1,"150000",""
"65",1,1,2,2,2,2,2,5.75,6,6,5,6,4,2,1993,36,15,2,5,"0",2,"Saint Paul","55105",1,"50000",""
"66",1,1,1.25,1,1,2,1,3.5,3,4,4,3,6,2,1993,187,21,1,6,"1",2,"St.Paul","55105",1,"NA",""
"67",1,1,4,1,6,7,2,5.25,7,4,4,6,3,2,1995,187,20,1,6,"1",2,"Saint Paul","55104",1,"100000",""
"68",1,0,1,1,1,1,1,4.25,5,6,4,2,5,2,1992,187,22,1,0,"0",2,"saint paul","55104",1,"90000",""
